2.00002	1.00004	0.00957274	1.00005	2.00003	3.00002	4.00001	5.00001	6.00001	7.00001	8.00001	9.00001	10	9.00001	8.00006	7.00021	6.0006	5.00144	4.00324	3.00715	2.01655	1.04752	0.368144	1.08681	2.0577	3.04863	4.0448	5.04298	6.04206	7.04159	8.04136	9.04125	10.0412	11.0411	12.0411	13.0411	14.041	15.0409	16.0407	17.0404	18.04	19.0394	18.735	17.7452	16.7581	15.7741	14.7939	13.8185	12.8488	11.8863	10.933	9.99137	9.06493	8.15859	7.27957	6.43877	5.65292	4.94782	4.36222	3.94886	3.76394	3.83967	4.16157	4.67912	5.33567	6.08642	6.90069	7.75851	8.64693	9.55741	10.4842	11.4234	12.3721	13.3283	14.2905	15.2575	16.2286	17.203	18.1801	19.1597	20.1412	21.1245	22.1092	23.0953	24.0825	25.0708	26.0599	27.0498	28.0405	29.0318	30.0236	31.016	32.0089	33.0022	33.9959	34.9899	35.9843	36.979	37.9739	38.9691	39.9646	40.9603	
3.20001	2.20002	1.20004	0.200273	0.800074	1.80003	2.80002	3.80002	4.80001	5.80001	6.80001	7.80001	8.80001	9.79999	9.20006	8.2002	7.20056	6.20132	5.20284	4.20585	3.21196	2.22553	1.26431	0.503353	0.958055	1.89523	2.87659	3.86848	4.86428	5.86191	6.86052	7.85965	8.85907	9.85861	10.8582	11.8579	12.8575	13.8571	14.8566	15.8559	16.8551	17.8541	17.766	16.7784	15.7938	14.813	13.8369	12.8664	11.903	10.9486	10.0058	9.07805	8.1704	7.29002	6.44776	5.66029	4.95344	4.366	3.95094	3.76491	3.84035	4.16222	4.67971	5.33621	6.0869	6.90113	7.7589	8.64728	9.55774	10.4845	11.4237	12.3723	13.3285	14.2907	15.2577	16.2288	17.2032	18.1803	19.1598	20.1413	21.1246	22.1094	23.0954	24.0826	25.0709	26.06	27.0499	28.0406	29.0319	30.0237	31.0161	32.009	33.0023	33.9959	34.99	35.9844	36.979	37.974	38.9692	39.9647	40.9603	41.9562	
4.01355	3.40001	2.40002	1.40004	0.40016	0.600114	1.60005	2.60003	3.60002	4.60002	5.60002	6.60001	7.60001	8.59999	9.59995	9.4002	8.40053	7.40123	6.40259	5.40513	4.40986	3.41887	2.43751	1.48512	0.69397	0.877268	1.75189	2.71636	3.70081	4.69256	5.6877	6.68461	7.68249	8.68088	9.67956	10.6784	11.6774	12.6764	13.6752	14.674	15.6726	16.6709	16.8007	15.8156	14.8343	13.8575	12.8863	11.9221	10.9668	10.0229	9.09396	8.18501	7.30328	6.45958	5.67054	4.96186	4.37237	3.95512	3.76709	3.84129	4.16284	4.68028	5.33673	6.08737	6.90155	7.75929	8.64763	9.55806	10.4848	11.4239	12.3726	13.3288	14.2909	15.2579	16.229	17.2033	18.1805	19.16	20.1415	21.1247	22.1095	23.0956	24.0828	25.071	26.0601	27.05	28.0407	29.032	30.0238	31.0162	32.0091	33.0023	33.996	34.9901	35.9844	36.9791	37.9741	38.9693	39.9647	40.9604	41.9563	42.9524	
4.57338	4.0885	3.60002	2.60002	1.60004	0.600124	0.400196	1.40006	2.40004	3.40003	4.40002	5.40002	6.40001	7.39999	8.39995	9.39985	9.60052	8.60117	7.60242	6.60468	5.60866	4.61567	3.62828	2.65288	1.71036	0.90957	0.862247	1.63465	2.57114	3.54375	4.52915	5.52032	6.51446	7.51019	8.50686	9.50415	10.5018	11.4996	12.4974	13.4952	14.4928	15.4903	15.8396	14.8578	13.8805	12.9087	11.9439	10.9878	10.0429	9.1129	8.20275	7.31969	6.47459	5.68402	4.97357	4.38193	3.96216	3.77147	3.84343	4.16371	4.68084	5.33723	6.08783	6.90196	7.75966	8.64798	9.55838	10.4851	11.4242	12.3728	13.329	14.2911	15.2582	16.2292	17.2035	18.1806	19.1601	20.1416	21.1249	22.1096	23.0957	24.0829	25.0711	26.0602	27.0502	28.0408	29.0321	30.0239	31.0163	32.0092	33.0024	33.9961	34.9902	35.9845	36.9792	37.9741	38.9694	39.9648	40.9605	41.9564	42.9524	43.9487	
5.34817	4.69074	4.17171	3.80002	2.80003	1.80004	0.800106	0.200447	1.20008	2.20005	3.20003	4.20003	5.20002	6.2	7.19995	8.19985	9.19968	9.80113	8.8023	7.80436	6.80788	5.81378	4.82363	3.84057	2.87211	1.94037	1.13922	0.919541	1.55097	2.44463	3.39948	4.37537	5.36057	6.35046	7.34299	8.33719	9.33241	10.3282	11.3243	12.3205	13.3167	14.3129	14.8837	13.906	12.9337	11.9683	11.0116	10.066	9.1351	8.22387	7.33962	6.49318	5.70113	4.98897	4.3952	3.97272	3.77886	3.84773	4.16569	4.68161	5.33772	6.08827	6.90237	7.76003	8.64832	9.55869	10.4854	11.4245	12.3731	13.3292	14.2914	15.2584	16.2294	17.2037	18.1808	19.1603	20.1418	21.125	22.1098	23.0958	24.083	25.0712	26.0603	27.0503	28.0409	29.0322	30.024	31.0164	32.0092	33.0025	33.9962	34.9902	35.9846	36.9793	37.9742	38.9694	39.9649	40.9606	41.9564	42.9525	43.9487	44.9452	
6.2586	5.49274	4.81355	4.26267	3.89491	3.00003	2.00005	1.0001	0.0142366	1.00011	2.00006	3.00004	4.00002	5	5.99995	6.99985	7.99969	8.99942	9.999	9.00413	8.00734	7.01254	6.02082	5.03411	4.0562	3.0956	2.17536	1.37805	1.03936	1.50807	2.34088	3.27014	4.2324	5.209	6.19293	7.18113	8.17191	9.16421	10.1574	11.1512	12.1453	13.1397	13.934	12.9614	11.9955	11.0383	10.0922	9.16071	8.24864	7.36336	6.51574	5.72231	5.00852	4.41267	3.98738	3.78994	3.85498	4.16966	4.68337	5.3384	6.0887	6.90276	7.76039	8.64865	9.559	10.4857	11.4247	12.3733	13.3295	14.2916	15.2586	16.2296	17.2039	18.181	19.1604	20.1419	21.1252	22.1099	23.0959	24.0831	25.0713	26.0605	27.0504	28.041	29.0323	30.0241	31.0165	32.0093	33.0026	33.9963	34.9903	35.9847	36.9794	37.9743	38.9695	39.965	40.9606	41.9565	42.9526	43.9488	44.9452	45.9418	
7.25378	6.42008	5.6407	4.94141	4.36091	3.95188	3.20003	2.20005	1.20009	0.200572	0.800152	1.80007	2.80004	3.8	4.79995	5.79986	6.7997	7.79945	8.79907	9.79851	9.20694	8.21167	7.21895	6.23012	5.24752	4.27557	3.32363	2.41506	1.62328	1.20514	1.51094	2.26357	3.15765	4.1011	5.06609	6.04223	7.02468	8.01085	8.9993	9.98921	10.9801	11.9717	12.9636	12.0257	11.0682	10.1217	9.18978	8.27721	7.39121	6.54264	5.74803	5.03272	4.43484	4.00668	3.80534	3.86586	4.17635	4.6869	5.33994	6.08929	6.90313	7.76074	8.64897	9.55929	10.486	11.425	12.3736	13.3297	14.2918	15.2588	16.2298	17.2041	18.1812	19.1606	20.1421	21.1253	22.11	23.0961	24.0833	25.0715	26.0606	27.0505	28.0411	29.0324	30.0242	31.0166	32.0094	33.0027	33.9964	34.9904	35.9848	36.9794	37.9744	38.9696	39.965	40.9607	41.9566	42.9526	43.9489	44.9453	45.9419	46.9386	
8.30328	7.42594	6.58367	5.79178	5.07392	4.46593	4.018	3.40003	2.40005	1.40009	0.400323	0.600223	1.60007	2.60001	3.59995	4.59986	5.59972	6.5995	7.59917	8.59867	9.59796	9.41101	8.41761	7.42742	6.44207	5.46427	4.49899	3.55612	2.65891	1.87361	1.40221	1.56002	2.21547	3.06339	3.98222	4.93239	5.8985	6.87347	7.85374	8.83736	9.82324	10.8107	11.7992	11.1013	10.1546	9.22245	8.30967	7.42334	6.57418	5.77868	5.0621	4.46226	4.03116	3.82561	3.88099	4.18641	4.69287	5.34304	6.09064	6.90366	7.76107	8.64928	9.55958	10.4862	11.4253	12.3738	13.3299	14.292	15.259	16.2299	17.2042	18.1813	19.1608	20.1422	21.1255	22.1102	23.0962	24.0834	25.0716	26.0607	27.0506	28.0412	29.0325	30.0243	31.0167	32.0095	33.0028	33.9965	34.9905	35.9849	36.9795	37.9745	38.9697	39.9651	40.9608	41.9566	42.9527	43.9489	44.9454	45.9419	46.9386	47.9355	
9.38891	8.48244	7.59946	6.74921	5.94575	5.21073	4.57728	4.09282	3.60003	2.60005	1.60009	0.600235	0.400294	1.40003	2.39995	3.39987	4.39975	5.39957	6.39929	7.39888	8.39828	9.39745	9.61661	8.62548	7.63832	6.65702	5.68465	4.72646	3.7927	2.90663	2.12825	1.61975	1.65102	2.19767	2.98847	3.87664	4.80816	5.76155	6.72718	7.70024	8.67811	9.65926	10.6426	10.1912	9.25896	8.34615	7.45983	6.61057	5.81462	5.09708	4.49553	4.06144	3.85133	3.90092	4.20041	4.70183	5.34828	6.09337	6.90485	7.76154	8.64958	9.55987	10.4865	11.4255	12.3741	13.3301	14.2922	15.2592	16.2301	17.2044	18.1815	19.1609	20.1424	21.1256	22.1103	23.0963	24.0835	25.0717	26.0608	27.0507	28.0413	29.0326	30.0244	31.0168	32.0096	33.0029	33.9966	34.9906	35.9849	36.9796	37.9745	38.9697	39.9652	40.9608	41.9567	42.9528	43.949	44.9454	45.942	46.9387	47.9355	48.9325	
10.4995	9.57282	8.66251	7.77426	6.91658	6.10237	5.35151	4.69451	4.17591	3.80004	2.80005	1.80008	0.800157	0.200291	1.19995	2.19988	3.1998	4.19968	5.19948	6.19917	7.1987	8.19804	9.19717	9.824	8.83559	7.85198	6.87529	5.90871	4.95775	4.03318	3.15796	2.38611	1.85024	1.77626	2.20993	2.93398	3.78478	4.69322	5.63106	6.58546	7.55003	8.52124	9.49685	9.29951	8.38691	7.50085	6.65189	5.85605	5.13806	4.53511	4.09814	3.88313	3.92622	4.21888	4.71433	5.35615	6.09796	6.90725	7.7626	8.65	9.56014	10.4868	11.4257	12.3743	13.3304	14.2924	15.2594	16.2303	17.2046	18.1817	19.1611	20.1426	21.1257	22.1104	23.0965	24.0836	25.0718	26.0609	27.0508	28.0414	29.0327	30.0245	31.0169	32.0097	33.003	33.9966	34.9907	35.985	36.9797	37.9746	38.9698	39.9653	40.9609	41.9568	42.9528	43.9491	44.9455	45.942	46.9388	47.9356	48.9326	49.9297	
